POSITIBO BERRIAK EUSKADIKO UDALERRIETAN / NUEVOS POSITIVOS EN LOS MUNICIPIOS DE EUSKADI;;;;;
UDALERRIA / MUNICIPIO;2020/05/13;2020/05/14;2020/05/15;2020/05/16;2020/05/17;2020/05/18;2020/05/19;2020/05/20;2020/05/21;2020/05/22;2020/05/23;2020/05/24;2020/05/25;2020/05/26;2020/05/27;2020/05/28;2020/05/29;2020/05/30;2020/05/31;2020/06/01;2020/06/02;2020/06/03;2020/06/04;2020/06/05;2020/06/06;2020/06/07;2020/06/08;2020/06/09;2020/06/10;2020/06/11;2020/06/12;2020/06/13;2020/06/14;2020/06/15;2020/06/16;2020/06/17;2020/06/18;2020/06/19;2020/06/20;2020/06/21;2020/06/22;2020/06/23;2020/06/24;2020/06/25;2020/06/26;2020/06/27;2020/06/28;2020/06/29;2020/06/30;2020/07/01;2020/07/02;2020/07/03;2020/07/04;2020/07/05;2020/07/06;2020/07/07;2020/07/08;2020/07/09;2020/07/10;2020/07/11;2020/07/12;2020/07/13;2020/07/14;2020/07/15;2020/07/16;2020/07/17;2020/07/18;2020/07/19;2020/07/20;2020/07/21;2020/07/22;2020/07/23;2020/07/24;2020/07/25;2020/07/26;2020/07/27;2020/07/28;2020/07/29;2020/07/30;2020/07/31;2020/08/01;2020/08/02;2020/08/03;2020/08/04;2020/08/05;2020/08/06;2020/08/07;2020/08/08;2020/08/09;2020/08/10;2020/08/11;2020/08/12;2020/08/13;2020/08/14;2020/08/15;2020/08/16;2020/08/17;2020/08/18;2020/08/19;2020/08/20;2020/08/21;2020/08/22;2020/08/23;2020/08/24;2020/08/25;2020/08/26;2020/08/27;2020/08/28;2020/08/29;2020/08/30;2020/08/31;2020/09/01;2020/09/02;2020/09/03;2020/09/04;2020/09/05;2020/09/06;2020/09/07;2020/09/08;2020/09/09;2020/09/10;2020/09/11;2020/09/12;2020/09/13;2020/09/14;2020/09/15;2020/09/16;2020/09/17;2020/09/18;2020/09/19;2020/09/20;2020/09/21;2020/09/22;2020/09/23;2020/09/24;2020/09/25;2020/09/26;2020/09/27;2020/09/28;2020/09/29;2020/09/30;2020/10/01;2020/10/02;2020/10/03;2020/10/04;2020/10/05;2020/10/06;2020/10/07;2020/10/08;2020/10/09;2020/10/10;2020/10/11;2020/10/12;2020/10/13;2020/10/14;2020/10/15;2020/10/16;2020/10/17;2020/10/18;2020/10/19;2020/10/20;2020/10/21;2020/10/22;2020/10/23;2020/10/24;2020/10/25;2020/10/26;2020/10/27;2020/10/28;2020/10/29;2020/10/30;2020/10/31;2020/11/01;2020/11/02;2020/11/03;2020/11/04;2020/11/05;2020/11/06;2020/11/07;2020/11/08;2020/11/09;2020/11/10;2020/11/11;2020/11/12;2020/11/13;2020/11/14;2020/11/15;2020/11/16;2020/11/17;2020/11/18;2020/11/19;2020/11/20;2020/11/21;2020/11/22;2020/11/23;2020/11/24;2020/11/25;2020/11/26;2020/11/27;2020/11/28;2020/11/29;2020/11/30;2020/12/01;2020/12/02;2020/12/03;2020/12/04;2020/12/05;2020/12/06;2020/12/07;2020/12/08;2020/12/09;2020/12/10;2020/12/11;2020/12/12;2020/12/13;2020/12/14;2020/12/15;2020/12/16;2020/12/17;2020/12/18;2020/12/19;2020/12/20;2020/12/21;2020/12/22;2020/12/23;2020/12/24;2020/12/25;2020/12/26;2020/12/27;2020/12/28;2020/12/29;2020/12/30;2020/12/31;2021/01/01;2021/01/02;2021/01/03;2021/01/04;2021/01/05;2021/01/06;2021/01/07;2021/01/08;2021/01/09;2021/01/10;2021/01/11;2021/01/12;2021/01/13;2021/01/14;2021/01/15;2021/01/16;2021/01/17;2021/01/18;2021/01/19;2021/01/20;2021/01/21;2021/01/22;2021/01/23;2021/01/24;2021/01/25;2021/01/26;2021/01/27;2021/01/28;2021/01/29;2021/01/30;2021/01/31;2021/02/01;2021/02/02;2021/02/03;2021/02/04;2021/02/05;2021/02/06;2021/02/07;2021/02/08;2021/02/09;2021/02/10;2021/02/11;2021/02/12;2021/02/13;2021/02/14;2021/02/15;2021/02/16;2021/02/17;2021/02/18;2021/02/19;2021/02/20;2021/02/21;2021/02/22;2021/02/23;2021/02/24;2021/02/25;2021/02/26;2021/02/27;2021/02/28;2021/03/01;2021/03/02;2021/03/03;2021/03/04;2021/03/05;2021/03/06;2021/03/07;2021/03/08;2021/03/09;2021/03/10;2021/03/11;2021/03/12;2021/03/13;2021/03/14;2021/03/15;2021/03/16;2021/03/17;2021/03/18;2021/03/19;2021/03/20;2021/03/21;2021/03/22;2021/03/23;2021/03/24;2021/03/25;2021/03/26;2021/03/27;2021/03/28;2021/03/29;2021/03/30;2021/03/31;2021/04/01;2021/04/02;2021/04/03;2021/04/04;2021/04/05;2021/04/06;2021/04/07;2021/04/08;2021/04/09;2021/04/10;2021/04/11;2021/04/12;2021/04/13;2021/04/14;2021/04/15;2021/04/16;2021/04/17;2021/04/18;2021/04/19;2021/04/20;2021/04/21;2021/04/22;2021/04/23;2021/04/24;2021/04/25;2021/04/26;2021/04/27;2021/04/28;2021/04/29;2021/04/30;2021/05/01;2021/05/02;2021/05/03;2021/05/04;2021/05/05;2021/05/06;2021/05/07;2021/05/08;2021/05/09;2021/05/10;2021/05/11;2021/05/12;2021/05/13;2021/05/14;2021/05/15;2021/05/16;2021/05/17;2021/05/18;2021/05/19;2021/05/20;2021/05/21;2021/05/22;2021/05/23;2021/05/24;2021/05/25;2021/05/26;2021/05/27;2021/05/28;2021/05/29;2021/05/30;2021/05/31;2021/06/01;2021/06/02;2021/06/03;2021/06/04;2021/06/05;2021/06/06;2021/06/07;2021/06/08;2021/06/09;2021/06/10;2021/06/11;2021/06/12;2021/06/13;2021/06/14;2021/06/15;2021/06/16;2021/06/17;2021/06/18;2021/06/19;2021/06/20;2021/06/21;2021/06/22;2021/06/23;2021/06/24;2021/06/25;2021/06/26;2021/06/27;2021/06/28;2021/06/29;2021/06/30;2021/07/01;2021/07/02;2021/07/03;2021/07/04;2021/07/05;2021/07/06;2021/07/07;2021/07/08;2021/07/09;2021/07/10;2021/07/11;2021/07/12;2021/07/13;2021/07/14;2021/07/15;2021/07/16;2021/07/17;2021/07/18;2021/07/19;2021/07/20;2021/07/21;2021/07/22;2021/07/23;2021/07/24;2021/07/25;2021/07/26;2021/07/27;2021/07/28;2021/07/29;2021/07/30;2021/07/31;2021/08/01;2021/08/02;2021/08/03;2021/08/04;2021/08/05;2021/08/06;2021/08/07;2021/08/08;2021/08/09;2021/08/10;2021/08/11;2021/08/12;2021/08/13;2021/08/14;2021/08/15;2021/08/16;2021/08/17;2021/08/18;2021/08/19;2021/08/20;2021/08/21;2021/08/22;2021/08/23;2021/08/24;2021/08/25;2021/08/26;2021/08/27;2021/08/28;2021/08/29;2021/08/30;2021/08/31;2021/09/01;2021/09/02;2021/09/03;2021/09/04;2021/09/05;2021/09/06;2021/09/07;2021/09/08;2021/09/09;2021/09/10;2021/09/11;2021/09/12;2021/09/13;2021/09/14;2021/09/15;2021/09/16;2021/09/17;2021/09/18;2021/09/19;2021/09/20;2021/09/21;2021/09/22;2021/09/23;2021/09/24;2021/09/25;2021/09/26;2021/09/27;2021/09/28;2021/09/29;2021/09/30;2021/10/01;2021/10/02;2021/10/03;2021/10/04;2021/10/05;2021/10/06;2021/10/07;
Abanto y Ciérvana-Abanto Zierbena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;1;0;0;2;1;0;0;1;0;0;0;1;0;1;1;2;0;3;13;0;1;0;0;0;4;4;2;2;0;1;4;0;1;3;1;2;1;2;4;5;6;7;2;0;3;3;6;2;3;0;1;0;0;0;0;0;3;1;0;4;1;2;1;0;0;1;0;0;0;1;5;0;2;2;1;3;1;0;0;1;3;2;4;1;11;6;1;7;2;4;4;10;2;12;8;5;11;3;1;8;3;4;11;5;1;8;3;7;6;2;9;7;1;0;0;2;2;5;2;0;1;2;3;1;0;1;3;1;15;2;1;2;2;1;7;2;5;2;0;1;1;0;1;1;2;4;0;1;0;6;1;1;0;1;3;1;8;4;0;1;1;2;0;6;0;1;6;2;2;13;4;1;1;1;5;1;3;7;3;1;1;2;1;4;3;4;3;4;1;3;3;6;2;2;3;0;3;2;4;1;5;1;0;0;3;2;0;0;1;2;0;1;1;3;1;1;1;1;2;1;3;1;1;1;0;1;2;1;0;0;0;0;3;2;1;1;0;1;2;1;0;0;1;0;0;1;1;2;4;0;0;1;1;0;0;1;2;0;2;2;0;0;3;5;1;0;0;1;2;1;0;0;1;0;1;4;1;0;1;1;3;1;3;11;0;2;2;4;4;2;2;3;1;3;1;2;4;0;0;0;0;0;1;2;1;2;1;2;0;7;9;2;2;2;0;0;1;1;0;1;2;0;0;0;0;2;0;0;0;0;0;0;1;1;0;3;1;0;0;0;1;0;0;0;2;1;3;0;2;12;2;4;3;2;2;4;5;2;9;11;17;17;10;10;5;6;13;19;9;7;3;7;7;12;9;4;4;9;0;3;6;3;4;3;3;2;3;1;1;4;5;2;0;1;0;3;1;1;3;0;0;0;2;4;1;1;2;1;2;0;1;6;0;0;0;0;2;1;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Ajangiz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;1;0;0;0;1;0;1;0;0;1;1;0;2;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Alonsotegi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;5;0;0;0;0;0;0;0;1;1;0;3;1;0;1;2;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;2;2;0;1;1;0;3;1;2;0;0;2;3;2;3;2;2;2;1;0;4;0;0;2;1;0;0;0;2;0;0;0;0;0;0;1;3;0;2;4;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;1;0;1;3;1;0;1;0;0;2;1;0;0;0;1;2;0;1;1;2;0;0;3;0;3;5;0;3;2;2;3;2;1;6;0;0;3;4;1;4;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;0;1;0;1;1;1;2;0;0;0;2;1;0;2;0;0;0;0;0;1;1;0;0;0;0;1;2;2;0;0;1;0;1;0;0;1;0;1;1;1;0;1;0;1;0;1;4;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;2;0;1;1;0;0;0;0;1;1;0;0;0;0;3;1;1;1;1;1;0;2;2;1;1;1;2;0;2;1;6;2;6;1;2;7;0;1;1;0;0;1;1;0;0;1;1;2;3;1;1;0;1;1;0;1;3;1;0;2;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Amorebieta-Etxano;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;1;0;2;0;1;0;2;1;2;0;0;3;0;3;1;0;0;0;1;1;0;1;1;2;3;0;3;1;1;0;4;1;3;3;5;4;0;4;1;6;3;0;4;0;5;7;1;2;1;1;7;2;3;1;0;1;0;3;3;2;2;2;3;2;3;5;2;2;4;8;0;9;3;4;3;2;2;3;3;3;8;0;5;7;0;8;6;10;3;8;4;10;7;14;2;8;9;13;18;31;21;28;14;7;5;13;12;14;16;6;7;9;11;7;1;5;10;6;7;7;4;2;5;6;2;2;2;5;1;6;1;2;4;9;9;13;8;3;5;2;7;7;6;8;5;3;5;7;5;5;5;1;0;2;6;6;6;2;3;0;2;6;3;3;1;0;3;8;5;13;16;18;12;20;17;20;19;18;18;12;12;27;23;12;13;12;8;6;13;6;11;2;8;1;3;7;7;9;6;9;0;4;8;2;4;4;5;0;1;1;3;4;2;2;0;1;2;3;2;1;1;1;1;1;2;1;0;0;1;2;1;7;1;0;0;0;0;1;2;2;2;2;0;3;5;7;6;6;10;2;3;5;4;1;7;2;0;6;4;13;9;8;4;0;1;6;7;3;1;2;2;1;4;4;2;5;2;1;1;4;4;4;7;3;4;4;2;7;4;6;4;0;1;6;3;1;6;7;2;2;3;3;6;1;1;3;1;4;4;2;2;0;5;1;4;8;2;5;3;3;0;1;9;5;3;4;12;1;0;1;1;2;9;2;0;0;0;3;0;1;0;1;2;0;2;1;1;3;1;1;2;4;3;4;6;1;9;9;12;17;7;8;9;5;6;16;16;16;12;17;14;13;10;11;15;8;8;13;6;15;9;11;7;4;5;3;2;6;8;2;3;8;6;1;2;4;9;5;4;5;2;3;8;0;2;5;9;4;4;2;4;0;0;3;1;2;0;0;5;1;2;5;3;0;2;0;0;2;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;
Amoroto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;2;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Arakaldo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Arantzazu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;2;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;
Areatza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;5;1;0;0;1;1;0;2;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;3;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
Arrankudiaga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1;0;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Arratzu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
